"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Neural Networks","legalhi","Truant1",29.5197038188672,0.267085378313515
"Neural Networks","cigok","Truant1",45.4577384495838,0.395704452102668
"Neural Networks","alcok","Truant1",43.6192918485703,0.380868287888452
"Neural Networks","drunkok","Truant1",32.9610606391245,0.294856940934318
"Neural Networks","glueok","Truant1",24.965307106082,0.230331644215218
"Neural Networks","canok","Truant1",30.4408791935206,0.274519213552958
"Neural Networks","cokeok","Truant1",26.002319557067,0.23870027836892
"Neural Networks","hpbclass","Truant1",31.8553834522776,0.285934186091763
"Neural Networks","hpcclass","Truant1",24.2019476844758,0.224171375145028
"Neural Networks","youth","Truant1",21.7955429952309,0.204751820007656
"Neural Networks","drama","Truant1",16.8513777680409,0.164852675168545
"Neural Networks","sports","Truant1",20.0333904192485,0.1905313444315
"Neural Networks","comp","Truant1",16.2290884641502,0.15983083428604
"Neural Networks","noclubs","Truant1",48.8513146004085,0.423090427316378
"Neural Networks","clubdk","Truant1",53.2720025598178,0.458765139037374
"Neural Networks","closefr","Truant1",19.1470991289884,0.183379021858368
"Neural Networks","agefr","Truant1",40.7394148190159,0.357627836681622
"Neural Networks","dgclass","Truant1",26.5390074622686,0.243031320613479
"Neural Networks","smclass","Truant1",42.7953006163513,0.374218723399859
"Neural Networks","alrisk","Truant1",26.9564452556496,0.246400020932764
"Neural Networks","drgrisk","Truant1",67.6809005406236,0.575044163117418
"Neural Networks","allife","Truant1",63.9973161077227,0.54531783681927
"Neural Networks","drglife","Truant1",84.9690992675906,0.71455898782861
"Neural Networks","aldecs","Truant1",51.888738731153,0.447602275072579
"Neural Networks","drgdecs","Truant1",100,0.835857540329765
"Neural Networks","peerviews","Truant1",87.6048493053394,0.735829347471424
"Neural Networks","schdrg","Truant1",44.2195691488291,0.385712493097239
"Neural Networks","schsm","Truant1",36.311588935136,0.321895522297845
"Neural Networks","schact","Truant1",22.4364901259645,0.209924228539376
"Neural Networks","sayno","Truant1",17.3260464503862,0.168683225653253
"Neural Networks","subsinfo","Truant1",37.4099967403613,0.330759613625555
"Neural Networks","avoidal","Truant1",38.7770816552454,0.341791914634905
"Neural Networks","avoiddrg","Truant1",60.3857807040802,0.516172942273866
"Neural Networks","likeskl","Truant1",27.9947875999521,0.254779387253304
"Neural Networks","pressu1","Truant1",30.8325824587405,0.277680237627764
"Neural Networks","exclax","Truant1",45.9400864407542,0.39959697419249
"Neural Networks","somatic","Truant1",18.8799082517967,0.181222805992009
"Neural Networks","shares","Truant1",50.9942748845422,0.440384000413591
"Neural Networks","tantrum","Truant1",41.8465809437706,0.366562607172221
"Neural Networks","loner","Truant1",14.7836602646993,0.148166307225482
"Neural Networks","fights","Truant1",14.9934041931015,0.149858929335362
"Neural Networks","kind","Truant1",68.9281571352245,0.585109456090606
"Neural Networks","lies","Truant1",37.8934946498577,0.334661415493808
"Neural Networks","bullied","Truant1",30.2459516476643,0.272946158845466
"Neural Networks","helpout","Truant1",46.7738045566319,0.40632503410389
"Neural Networks","steals","Truant1",41.7725234602864,0.365964967302965
"Neural Networks","oldbest","Truant1",31.9572507569862,0.286756249707798
"Neural Networks","afraid","Truant1",65.1510945862534,0.554628766473073
"Neural Networks","wwbands","Truant1",27.1035272743725,0.247586964835038
"Neural Networks","famstat2","Truant1",33.1813152378791,0.296634383583051
"Neural Networks","mumscore2","Truant1",24.5962834623206,0.22735364345373
"Neural Networks","dadscore2","Truant1",19.3348191047589,0.184893911866749
"Neural Networks","seefrnds2","Truant1",15.7469829531274,0.155940268997839
"Neural Networks","music2","Truant1",2.92902712474068,0.052500061675159
"Neural Networks","films2","Truant1",34.3210948317917,0.305832342998341
"Neural Networks","socialnet2","Truant1",45.7812328828655,0.398315034608523
"Neural Networks","cmpgame2","Truant1",22.1114429437297,0.207301115433809
"Neural Networks","shops2","Truant1",23.4068349468661,0.217754858539385
"Neural Networks","mags2","Truant1",29.9565157980035,0.270610427259527
"Neural Networks","books2","Truant1",27.1405430114665,0.247885679822862
"Neural Networks","wsport2","Truant1",23.4892955792165,0.21842031136357
"Neural Networks","dsport2","Truant1",10.5290762436397,0.113832045264965
"Neural Networks","cinema2","Truant1",26.9131671326074,0.246050768830481
"Neural Networks","street2","Truant1",19.588657312605,0.186942372416743
"Neural Networks","hobby2","Truant1",34.2855473584232,0.305545476819032
"Neural Networks","frhouse2","Truant1",10.2206572667493,0.11134312087336
"Neural Networks","concert2","Truant1",19.9960187538027,0.190229757121209
"Neural Networks","publib2","Truant1",33.4353697832003,0.298684589964719
"Neural Networks","museum2","Truant1",24.4745509905182,0.226371269018233
"Neural Networks","theatre2","Truant1",35.21326592329,0.313032115248102
"Neural Networks","church2","Truant1",23.2438445457451,0.216439534855227
"Neural Networks","volwork2","Truant1",31.1353994175399,0.28012395403765
